SKU;PRECIO
ATM- 10146-K;7656
ATM- 10147-8;8776
ATM- 10148-6;8496
ATM- 10149-4;8496
ATM- 10150-8;8400
ATM- 10151-6;11120
ATM- 10152-4;9880
ATM- 10153-2;9288
ATM- 10154-0;8720
ATM- 10157-5;25056
ATM- 10158-3;8040
ATM- 10159-1;7712
ATM- 10160-5;8504
ATM- 10161-3;168
ATM- 10162-1;23840
ATM- 10164-8;30392
ATM- 10165-6;42520
ATM- 10166-4;45840
ATM- 10167-2;35664
ATM- 10169-9;35768
ATM- 10173-7;1536
ATM- 10174-5;1792
ATM- 10177-K;672
ATM- 10178-8;2088
ATM- 10179-6;672
ATM- 10180-K;10816
ATM- 10182-6;2864
ATM- 10184-2;1320
ATM- 10188-5;129000
ATM- 10191-5;144
ATM- 10192-3;10616
ATM- 10193-1;11360
ATM- 10194-K;213600
ATM- 10195-8;10816
ATM- 10196-6;1864
ATM- 10197-4;10816
ATM- 10198-2;1816
ATM- 10201-6;920
ATM- 10203-2;10816
ATM- 10204-0;10816
ATM- 10205-9;2560
ATM- 10206-7;3336
ATM- 10208-3;11968
ATM- 10209-1;5792
ATM- 10211-3;4088
ATM- 10212-1;1792
ATM- 10213-K;1208
ATM- 10214-8;1840
ATM- 10215-6;1344
ATM- 10216-4;1608
ATM- 10217-2;2112
ATM- 10218-0;1048
ATM- 10219-9;1456
ATM- 10220-2;1960
ATM- 10221-0;10816
ATM- 10222-9;6560
ATM- 10223-7;5536
ATM- 10224-5;2040
ATM- 10225-3;2096
ATM- 10226-1;10816
ATM- 10227-K;1080
ATM- 10228-8;1032
ATM- 10229-6;1784
ATM- 10230-K;1936
ATM- 10234-2;2600
ATM- 10235-0;1864
ATM- 10236-9;1832
ATM- 10237-7;1832
ATM- 10238-5;2128
ATM- 10240-7;2152
ATM- 10241-5;1400
ATM- 10242-3;2120
ATM- 10244-K;4640
ATM- 10245-8;1960
ATM- 10246-6;11360
ATM- 10247-4;11360
ATM- 10249-0;1080
ATM- 10250-4;784
ATM- 10251-2;1200
ATM- 10252-0;3136
ATM- 10253-9;1208
ATM- 10254-7;1304
ATM- 10255-5;11360
ATM- 10256-3;1584
ATM- 10257-1;6040
ATM- 10258-K;3320
ATM- 10259-8;1376
ATM- 10260-1;3136
ATM- 10263-6;2328
ATM- 10264-4;12960
ATM- 10265-2;12424
ATM- 10266-0;13528
ATM- 10271-7;5112
ATM- 10272-5;23048
ATM- 10274-1;4328
ATM- 10275-K;2216
ATM- 10277-6;12784
ATM- 10278-4;3504
ATM- 10281-4;34880
ATM- 10282-2;50448
ATM- 10283-0;1990
ATM- 10285-7;3040
ATM- 10287-3;3180
ATM- 10288-1;1328
ATM- 10290-3;6128
ATM- 10291-1;8760
ATM- 10292-K;7624
ATM- 10293-8;9440
ATM- 10294-6;8776
ATM- 10295-4;8496
ATM- 10296-2;8760
ATM- 10297-0;9456
ATM- 10298-9;9216
ATM- 10299-7;12112
ATM- 10300-4;8480
ATM- 10301-2;9072
ATM- 10302-0;9760
ATM- 10303-9;12240
ATM- 10304-7;9232
ATM- 10305-5;8720
ATM- 10306-3;8720
ATM- 10307-1;8952
ATM- 10308-K;9920
ATM- 10309-8;448
ATM- 10310-1;244
ATM- 10311-K;10016
ATM- 10312-8;10800
ATM- 10313-6;536
ATM- 10314-4;216
ATM- 10315-2;8080
ATM- 10316-0;10960
ATM- 10317-9;5576
ATM- 10318-7;7840
ATM- 10319-5;9992
ATM- 10322-5;5584
ATM- 10323-3;7176
ATM- 10324-1;8304
ATM- 10325-K;8144
ATM- 10326-8;9760
ATM- 10327-6;1296
ATM- 10328-4;85090
ATM- 10329-2;7360
ATM- 10330-6;9520
ATM- 10332-2;832
ATM- 10333-0;13584
ATM- 10334-9;10872
ATM- 10335-7;1744
ATM- 10336-5;864
ATM- 10337-3;888
ATM- 10338-1;624
ATM- 10340-3;11360
ATM- 10341-1;360
ATM- 10342-K;1584
ATM- 10343-8;14000
ATM- 10344-6;11600
ATM- 10345-4;14832
ATM- 10346-2;480
ATM- 10347-0;4568
ATM- 10348-9;3152
ATM- 10349-7;7656
ATM- 10351-9;3368
ATM- 10353-5;9800
ATM- 10355-1;1792
ATM- 10356-K;44712
ATM- 10357-8;1040
ATM- 10358-6;11360
ATM- 10359-4;23728
ATM- 10360-8;15760
ATM- 10362-4;1540
ATM- 10363-2;12376
ATM- 10364-0;11920
ATM- 10366-7;10320
ATM- 10367-5;1640
ATM- 10368-3;9144
ATM- 10370-5;1090
ATM- 10371-3;1690
ATM- 10372-1;1480
ATM- 10373-K;1780
ATM- 10374-8;10880
ATM- 10375-6;1340
ATM- 10376-4;15744
ATM- 10377-2;14960
ATM- 10378-0;12736
ATM- 10379-9;1480
ATM- 10380-2;1650
ATM- 10381-0;6016
ATM- 10382-9;970
ATM- 10383-7;1180
ATM- 10384-5;970
ATM- 10385-3;1100
ATM- 10386-1;1540
ATM- 10387-K;1370
ATM- 10388-8;1890
ATM- 10389-6;1790
ATM- 10390-K;1100
ATM- 10391-8;1100
ATM- 10393-4;20400
ATM- 10394-2;45584
ATM- 10395-0;56800
ATM- 10396-9;11920
ATM- 10397-7;8720
ATM- 10398-5;17784
ATM- 10399-3;7584
ATM- 10402-7;17960
ATM- 10404-3;3320
ATM- 10405-1;1192
ATM- 10406-K;768
ATM- 10407-8;15824
ATM- 10408-6;11360
ATM- 10411-6;6376
ATM- 10412-4;7328
ATM- 10414-0;4072
ATM- 10417-5;11360
ATM- 10418-3;58192
ATM- 10419-1;43728
ATM- 10420-5;11360
ATM- 10421-3;56800
ATM- 10422-1;2760
ATM- 10423-K;7960
ATM- 10424-8;4520
ATM- 10425-6;4520
ATM- 10427-2;2272
ATM- 10429-9;4232
ATM- 10433-7;11928
ATM- 10435-3;7416
ATM- 10437-K;3856
ATM- 10438-8;27368
ATM- 10439-6;32120
ATM- 10441-8;3392
ATM- 10442-6;8432
ATM- 10445-0;2976
ATM- 10446-9;2528
ATM- 10447-7;29856
ATM- 10449-3;7840
ATM- 10450-7;4904
ATM- 10451-5;16384
ATM- 10452-3;2976
ATM- 10453-1;4432
ATM- 10454-K;16384
ATM- 10455-8;16384
ATM- 10456-6;5088
ATM- 10457-4;4600
ATM- 10466-3;10816
ATM- 10467-1;4960
ATM- 10468-K;10816
ATM- 10469-8;9360
ATM- 10471-K;10848
ATM- 10472-8;6560
ATM- 10473-6;39960
ATM- 10474-4;10184
ATM- 10475-2;11808
ATM- 10476-0;20360
ATM- 10477-9;4760
ATM- 10478-7;11888
ATM- 10479-5;20360
ATM- 10480-9;11160
ATM- 10481-7;7992
ATM- 10482-5;4736
ATM- 10483-3;12736
ATM- 10484-1;6248
ATM- 10487-6;3960
ATM- 10488-4;11032
ATM- 10489-2;11192
ATM- 10490-6;8480
ATM- 10491-4;11504
ATM- 10492-2;10320
ATM- 10493-0;10784
ATM- 10494-9;6560
ATM- 10496-5;10160
ATM- 10497-3;9664
ATM- 10498-1;9880
ATM- 10499-K;5648
ATM- 10500-7;10184
ATM- 10501-5;12856
ATM- 10502-3;13584
ATM- 10503-1;10816
ATM- 10505-8;4216
ATM- 10506-6;4688
ATM- 10507-4;4688
ATM- 10508-2;8320
ATM- 10509-0;6392
ATM- 10511-2;4760
ATM- 10512-0;9288
ATM- 10513-9;6136
ATM- 10514-7;13584
ATM- 10515-5;4008
ATM- 10516-3;5584
ATM- 10517-1;5920
ATM- 10519-8;23600
ATM- 10520-1;7928
ATM- 10521-K;8944
ATM- 10523-6;9952
ATM- 10524-4;5928
ATM- 10525-2;6320
ATM- 10526-0;11320
ATM- 10527-9;6248
ATM- 10528-7;3832
ATM- 10529-5;7840
ATM- 10531-7;8960
ATM- 10532-5;6136
ATM- 10533-3;10136
ATM- 10534-1;10816
ATM- 10535-K;6984
ATM- 10536-8;5360
ATM- 10538-4;24952
ATM- 10539-2;6336
ATM- 10544-9;5976
ATM- 10545-7;22696
ATM- 10548-1;27328
ATM- 10549-K;9576
ATM- 10550-3;6928
ATM- 10551-1;5980
ATM- 10552-K;4520
ATM- 10553-8;7248
ATM- 10554-6;13960
ATM- 10556-2;5770
ATM- 10557-0;4688
ATM- 10558-9;13200
ATM- 10559-7;9024
ATM- 10563-5;7416
ATM- 10564-3;12088
ATM- 10567-8;8944
ATM- 10569-4;6960
ATM- 10570-8;9200
ATM- 10571-6;10896
ATM- 10572-4;8496
ATM- 10573-2;8496
ATM- 10574-0;4808
ATM- 10575-9;9200
ATM- 10576-7;9200
ATM- 10577-5;7624
ATM- 10578-3;6624
ATM- 10579-1;7624
ATM- 10580-5;8128
ATM- 10581-3;8504
ATM- 10582-1;7760
ATM- 10583-K;3360
ATM- 10584-8;24520
ATM- 10585-6;20648
ATM- 10586-4;23880
ATM- 10587-2;3360
ATM- 10588-0;9968
ATM- 10589-9;17248
ATM- 10590-2;7920
ATM- 10591-0;9800
ATM- 10592-9;3336
ATM- 10593-7;4216
ATM- 10594-5;63008
ATM- 10595-3;6984
ATM- 10596-1;10568
ATM- 10597-K;13568
ATM- 10598-8;5368
ATM- 10599-6;6720
ATM- 10600-3;10992
ATM- 10601-1;8944
ATM- 10602-K;21888
ATM- 10603-8;11360
ATM- 10604-6;16784
ATM- 10605-4;18248
ATM- 10606-2;2208
ATM- 10607-0;17856
ATM- 10608-9;19696
ATM- 10609-7;11920
ATM- 10610-0;10016
ATM- 10611-9;25472
ATM- 10612-7;25560
ATM- 10613-5;19088
ATM- 10614-3;20096
ATM- 10615-1;20032
ATM- 10616-K;16008
ATM- 10618-6;18088
ATM- 10619-4;29200
ATM- 10620-8;14880
ATM- 10621-6;13976
ATM- 10622-4;16784
ATM- 10624-0;13504
ATM- 10625-9;14656
ATM- 10626-7;31984
ATM- 10627-5;23200
ATM- 10628-3;23648
ATM- 10630-5;8480
ATM- 10632-1;20096
ATM- 10633-K;3120
ATM- 10634-8;26216
ATM- 10635-6;23808
ATM- 10636-4;26216
ATM- 10637-2;23648
ATM- 10638-0;24112
ATM- 10639-9;20088
ATM- 10640-2;17808
ATM- 10641-0;8512
ATM- 10642-9;29736
ATM- 10643-7;19216
ATM- 10644-5;18248
ATM- 10645-3;15312
ATM- 10648-8;3152
ATM- 10650-K;6560
ATM- 10651-8;7040
ATM- 10652-6;6624
ATM- 10653-4;7416
ATM- 10654-2;7976
ATM- 10655-0;7624
ATM- 10656-9;7496
ATM- 10657-7;11760
ATM- 10658-5;6192
ATM- 10659-3;11360
ATM- 10660-7;3016
ATM- 10661-5;7176
ATM- 10662-3;3832
ATM- 10663-1;7920
ATM- 10664-K;5976
ATM- 10665-8;6376
ATM- 10667-4;10952
ATM- 10668-2;9520
ATM- 10669-0;16944
ATM- 10670-4;10408
ATM- 10671-2;4720
ATM- 10673-9;6984
ATM- 10674-7;9800
ATM- 10675-5;8720
ATM- 10677-1;22024
ATM- 10678-K;18248
ATM- 10681-K;4136
ATM- 10682-8;5432
ATM- 10690-9;11360
ATM- 10692-5;26856
ATM- 10693-3;3360
ATM- 10694-1;26856
ATM- 10696-8;4760
ATM- 10697-6;11056
ATM- 10698-4;5400
ATM- 10699-2;3832
ATM- 10700-K;3536
ATM- 10705-0;6232
ATM- 10706-9;2390
ATM- 10707-7;11520
ATM- 10709-3;11176
ATM- 10710-7;10600
ATM- 10711-5;5280
ATM- 10712-3;5624
ATM- 10714-K;9760
ATM- 10715-8;10712
ATM- 10722-0;5792
ATM- 10728-K;3144
ATM- 10729-8;4072
ATM- 10730-1;8480
ATM- 10731-K;6472
ATM- 10732-8;1704
ATM- 10733-6;4888
ATM- 10734-4;23432
ATM- 10735-2;23432
ATM- 10736-0;23432
ATM- 10737-9;23432
ATM- 10738-7;23432
ATM- 10740-9;14440
ATM- 10741-7;14440
ATM- 10742-5;14440
ATM- 10743-3;14440
ATM- 10744-1;14440
ATM- 10745-K;14440
ATM- 10746-8;9576
ATM- 10747-6;9576
ATM- 10748-4;9576
ATM- 10749-2;9576
ATM- 10750-6;9576
ATM- 10751-4;9576
ATM- 10752-2;5200
ATM- 10753-0;5200
ATM- 10754-9;5200
ATM- 10755-7;5200
ATM- 10756-5;5200
ATM- 10757-3;5200
ATM- 10758-1;5072
ATM- 10759-K;5072
ATM- 10760-3;6008
ATM- 10762-K;5072
ATM- 10764-6;6360
ATM- 10765-4;25136
ATM- 10766-2;15920
ATM- 10767-0;11120
ATM- 10769-7;5072
ATM- 10770-0;7416
ATM- 10772-7;26320
ATM- 10773-5;29600
ATM- 10774-3;47976
ATM- 10775-1;43488
ATM- 10776-K;4248
ATM- 10777-8;3856
ATM- 10778-6;3560
ATM- 10779-4;3752
ATM- 10780-8;4080
ATM- 10781-6;5752
ATM- 10782-4;4744
ATM- 10783-2;4264
ATM- 10784-0;6320
ATM- 10785-9;4216
ATM- 10786-7;5760
ATM- 10787-5;7760
ATM- 10788-3;6416
ATM- 10789-1;8160
ATM- 10790-5;10160
ATM- 10791-3;6960
ATM- 10792-1;8240
ATM- 10793-K;23152
ATM- 10795-6;42960
ATM- 10797-2;5976
ATM- 10799-9;39872
ATM- 10800-6;19784
ATM- 10802-2;8392
ATM- 10803-0;9968
ATM- 10804-9;24600
ATM- 10805-7;25136
ATM- 10807-3;13624
ATM- 10808-1;18960
ATM- 10809-K;23296
ATM- 10810-3;19920
ATM- 10811-1;12960
ATM- 10813-8;10824
ATM- 10814-6;15328
ATM- 10815-4;46960
ATM- 10819-7;19672
ATM- 10820-0;16952
ATM- 10822-7;2100
ATM- 10823-5;5840
ATM- 10824-3;4776
ATM- 10825-1;33840
ATM- 10827-8;10824
ATM- 10828-6;7120
ATM- 10832-4;5072
ATM- 10833-2;4960
ATM- 10834-0;5704
ATM- 10835-9;4760
ATM- 10836-7;3672
ATM- 10837-5;3848
ATM- 10840-5;5792
ATM- 10841-3;10824
ATM- 10844-8;6224
ATM- 10846-4;8248
ATM- 10847-2;8352
ATM- 10850-2;2480
ATM- 10853-7;15312
ATM- 10856-1;2360
ATM- 10858-8;7760
ATM- 10861-8;912
ATM- 10862-6;2392
ATM- 10864-2;6560
ATM- 10868-5;3976
ATM- 10871-5;6216
ATM- 10877-4;8016
ATM- 10880-4;4944
ATM- 10886-3;4632
ATM- 10888-K;6968
ATM- 10889-8;48280
ATM- 10894-4;8400
ATM- 10895-2;4720
ATM- 10898-7;14400
ATM- 10900-2;7040
ATM- 10902-9;28930
ATM- 10903-7;3456
ATM- 10904-5;62260
ATM- 10908-8;6952
ATM- 10909-6;2336
ATM- 10910-K;2872
ATM- 10911-8;2792
ATM- 10912-6;17728
ATM- 10913-4;7280
ATM- 10914-2;7696
ATM- 10915-0;60110
ATM- 10918-5;10984
ATM- 10919-3;6912
ATM- 10921-5;8536
ATM- 10924-K;5632
ATM- 10927-4;2360
ATM- 10928-2;69790
ATM- 10930-4;8664
ATM- 10932-0;11360
ATM- 10934-7;53660
ATM- 10935-5;2848
ATM- 10936-3;7176
ATM- 10937-1;1780
ATM- 10939-8;8376
ATM- 10940-1;8032
ATM- 10941-K;3544
ATM- 10944-4;1960
ATM- 10945-2;34300
ATM- 10946-0;2792
ATM- 10947-9;7584
ATM- 10951-7;1860
ATM- 10953-3;2792
ATM- 10954-1;7584
ATM- 10955-K;2552
ATM- 10956-8;7280
ATM- 10957-6;7672
ATM- 10958-4;7224
ATM- 10960-6;2640
ATM- 10962-2;69790
ATM- 10964-9;42900
ATM- 10967-3;7584
ATM- 10970-3;45520
ATM- 10972-K;7584
ATM- 10973-8;20760
ATM- 10977-0;7480
ATM- 10978-9;8280
ATM- 10979-7;67680
ATM- 10982-7;10600
ATM- 10985-1;29840
ATM- 10992-4;8488
ATM- 10993-2;13680
ATM- 10994-0;13680
ATM- 10995-9;13680
ATM- 10996-7;17016
ATM- 10997-5;17016
ATM- 10999-1;13376
ATM- 11000-0;8296
ATM- 11003-5;8248
ATM- 11006-K;9256
ATM- 11014-0;85700
ATM- 11015-9;25640
ATM- 11016-7;18216
ATM- 11017-5;73950
ATM- 11018-3;74230
ATM- 11020-5;10968
ATM- 11023-K;55800
ATM- 11027-2;60390
ATM- 11028-0;12400
ATM- 11030-2;9296
ATM- 11031-0;68050
ATM- 11033-7;103864
ATM- 11042-6;17792
ATM- 11045-0;5952
ATM- 11046-9;9520
ATM- 11047-7;3790
ATM- 11048-5;8704
ATM- 11049-3;7656
ATM- 11050-7;10184
ATM- 11052-3;7832
ATM- 11053-1;9920
ATM- 11054-K;6320
ATM- 11055-8;11920
ATM- 11056-6;8136
ATM- 11057-4;8776
ATM- 11058-2;6376
ATM- 11059-0;8640
ATM- 11060-4;13376
ATM- 11061-2;10889
ATM- 11062-0;22824
ATM- 11066-3;5504
ATM- 11068-K;11040
ATM- 11070-1;11040
ATM- 11071-K;25640
ATM- 11077-9;9880
ATM- 11083-3;15640
ATM- 11085-K;42008
ATM- 11088-4;43040
ATM- 11089-2;16184
ATM- 11091-4;16184
ATM- 11094-9;13984
ATM- 11095-7;13984
ATM- 11099-K;14424
ATM- 11100-7;2808
ATM- 11101-5;12720
ATM- 11102-3;2696
ATM- 11103-1;3176
ATM- 11104-K;12088
ATM- 11114-7;9520
ATM- 11116-3;62336
ATM- 11117-1;2928
ATM- 11118-K;15760
ATM- 11120-1;30312
ATM- 11123-6;5040
ATM- 11125-2;5792
ATM- 11126-0;8560
ATM- 11132-5;15976
ATM- 11133-3;16656
ATM- 11134-1;15776
ATM- 11148-1;31920
ATM- 11153-8;8896
ATM- 11154-6;14472
ATM- 11155-4;10136
ATM- 11156-2;12320
ATM- 11157-0;6984
ATM- 11161-9;3632
ATM- 11162-7;8976
ATM- 11163-5;11016
ATM- 11164-3;8560
ATM- 11167-8;10872
ATM- 11168-6;13920
ATM- 11171-6;9080
ATM- 11172-4;5144
ATM- 11174-0;78700
ATM- 11177-5;15144
ATM- 11178-3;10648
ATM- 11183-K;74440
ATM- 11190-2;7728
ATM- 11194-5;5312
ATM- 11195-3;5728
ATM- 11196-1;6864
ATM- 11197-K;6976
ATM- 11202-K;5136
ATM- 11206-2;7920
ATM- 11208-9;152830
ATM- 11210-0;6296
ATM- 11211-9;7352
ATM- 11213-5;6904
ATM- 11217-8;7248
ATM- 11220-8;7856
ATM- 11221-6;7248
ATM- 11222-4;6472
ATM- 11224-0;6296
ATM- 11225-9;10160
ATM- 11227-5;59760
ATM- 11228-3;9544
ATM- 11233-K;12736
ATM- 11235-6;6512
ATM- 11237-2;6400
ATM- 11238-0;72900
ATM- 11239-9;6512
ATM- 11241-0;29736
ATM- 11242-9;28336
ATM- 11243-7;17440
ATM- 11244-5;25512
ATM- 11245-3;2288
ATM- 11246-1;2856
ATM- 11248-8;7208
ATM- 11250-K;9840
ATM- 11251-8;8496
ATM- 11253-4;7608
ATM- 11254-2;11760
ATM- 11255-0;7080
ATM- 11256-9;8400
ATM- 11257-7;7624
ATM- 11258-5;2824
ATM- 11259-3;7408
ATM- 11260-7;2848
ATM- 11261-5;2792
ATM- 11262-3;6136
ATM- 11263-1;6376
ATM- 11264-K;15168
ATM- 11265-8;6376
ATM- 11266-6;4776
ATM- 11267-4;6776
ATM- 11271-2;5312
ATM- 11273-9;10184
ATM- 11274-7;6320
ATM- 11275-5;9736
ATM- 11276-3;9192
ATM- 11277-1;3920
ATM- 11278-K;10224
ATM- 11279-8;10400
ATM- 11281-K;2800
ATM- 11285-2;10032
ATM- 11290-9;11728
ATM- 11291-7;6360
ATM- 11293-3;3496
ATM- 11294-1;3848
ATM- 11295-K;3376
ATM- 11296-8;4808
ATM- 11297-6;3424
ATM- 11298-4;5344
ATM- 11299-2;6376
ATM- 11300-K;10624
ATM- 11301-8;3976
ATM- 11302-6;2216
ATM- 11303-4;6184
ATM- 11304-2;5248
ATM- 11305-0;7768
ATM- 11306-9;1100
ATM- 11307-7;1290
ATM- 11309-3;2576
ATM- 11312-3;2792
ATM- 11315-8;13544
ATM- 11316-6;61240
ATM- 11317-4;5472
ATM- 11318-2;7248
ATM- 11319-0;61660
ATM- 11321-2;3280
ATM- 11324-7;4728
ATM- 11325-5;4480
ATM- 11326-3;15920
ATM- 11327-1;10312
ATM- 11328-K;5880
ATM- 11329-8;31128
ATM- 11330-1;2872
ATM- 11331-K;2864
ATM- 11332-8;2800
ATM- 11334-4;8240
ATM- 11336-0;700
ATM- 11338-7;29712
ATM- 11341-7;4840
ATM- 11342-5;65900
ATM- 11343-3;5280
ATM- 11344-1;6360
ATM- 11351-4;2648
ATM- 11353-0;2640
ATM- 11354-9;8720
ATM- 11358-1;5096
ATM- 11359-K;6472
ATM- 11360-3;4176
ATM- 11362-K;3976
ATM- 11364-6;5912
ATM- 11370-0;4624
ATM- 11372-7;59680
ATM- 11374-3;5936
ATM- 11377-8;5144
ATM- 11379-4;8512
ATM- 11380-8;3888
ATM- 11381-6;4680
ATM- 11382-4;4520
ATM- 11383-2;4776
ATM- 11387-5;2264
ATM- 11389-1;84670
ATM- 11390-5;4920
ATM- 11392-1;5544
ATM- 11393-K;4840
ATM- 11395-6;15920
ATM- 11396-4;111510
ATM- 11399-9;5376
ATM- 11400-6;6960
ATM- 11401-4;87900
ATM- 11402-2;5936
ATM- 11403-0;6800
ATM- 11404-9;10800
ATM- 11406-5;4664
ATM- 11407-3;5552
ATM- 11408-1;17016
ATM- 11410-3;168700
ATM- 11411-1;3592
ATM- 11413-8;8776
ATM- 11414-6;7920
ATM- 11415-4;8760
ATM- 11417-0;5728
ATM- 11418-9;21360
ATM- 11419-7;182800
ATM- 11422-7;8992
ATM- 11424-3;3440
ATM- 11425-1;5680
ATM- 11426-K;5488
ATM- 11427-8;4624
ATM- 11428-6;16720
ATM- 11429-4;5280
ATM- 11431-6;20360
ATM- 11436-7;3568
ATM- 11440-5;4080
ATM- 11441-3;4688
ATM- 11447-2;9672
ATM- 11448-0;3688
ATM- 11449-9;3968
ATM- 11453-7;5280
ATM- 11454-5;7056
ATM- 11455-3;5472
ATM- 11458-8;3328
ATM- 11459-6;3992
ATM- 11461-8;10112
ATM- 11462-6;7248
ATM- 11463-4;12696
ATM- 11464-2;4768
ATM- 11465-0;4832
ATM- 11466-9;6864
ATM- 11468-5;6936
ATM- 11469-3;4760
ATM- 11470-7;7248
ATM- 11471-5;4672
ATM- 11472-3;4280
ATM- 11476-6;13520
ATM- 11477-4;7840
ATM- 11478-2;7336
ATM- 11481-2;6776
ATM- 11482-0;8944
ATM- 11483-9;5632
ATM- 11484-7;7328
ATM- 11485-5;11528
ATM- 11486-3;4536
ATM- 11487-1;4976
ATM- 11488-K;12296
ATM- 11489-8;5048
ATM- 11490-1;5056
ATM- 11491-K;5432
ATM- 11492-8;3408
ATM- 11499-5;6320
ATM- 11500-2;3360
ATM- 11501-0;3432
ATM- 11502-9;5976
ATM- 11504-5;5096
ATM- 11507-K;3584
ATM- 11508-8;3656
ATM- 11509-6;4136
ATM- 11510-K;4320
ATM- 11511-8;3592
ATM- 11512-6;6472
ATM- 11513-4;111720
ATM- 11515-0;10104
ATM- 11516-9;84030
ATM- 11517-7;117500
ATM- 11518-5;3832
ATM- 11519-3;105970
ATM- 11520-7;3384
ATM- 11521-5;85090
ATM- 11522-3;3944
ATM- 11523-1;105970
ATM- 11525-8;9008
ATM- 11528-2;4624
ATM- 11529-0;4720
ATM- 11531-2;5448
ATM- 11533-9;6888
ATM- 11534-7;6296
ATM- 11535-5;6888
ATM- 11537-1;93610
ATM- 11540-1;112360
ATM- 11541-K;109700
ATM- 11542-8;5144
ATM- 11543-6;6136
ATM- 11544-4;8128
ATM- 11545-2;5992
ATM- 11551-7;4608
ATM- 11552-5;12240
ATM- 11555-K;11672
ATM- 11556-8;4608
ATM- 11557-6;13888
ATM- 11558-4;6600
ATM- 11559-2;5472
ATM- 11561-4;5048
ATM- 11562-2;10720
ATM- 11564-9;6784
ATM- 11566-5;6512
ATM- 11567-3;7408
ATM- 11568-1;5832
ATM- 11569-K;7016
ATM- 11571-1;6528
ATM- 11573-8;137280
ATM- 11574-6;5312
ATM- 11575-4;8120
ATM- 11576-2;8240
ATM- 11577-0;101700
ATM- 11579-7;7952
ATM- 11580-0;9440
ATM- 11581-9;8104
ATM- 11582-7;5576
ATM- 11583-5;4952
ATM- 11584-3;8960
ATM- 11587-8;4376
ATM- 11588-6;13680
ATM- 11589-4;2976
ATM- 11590-8;15312
ATM- 11595-9;9040
ATM- 11596-7;121900
ATM- 11597-5;5024
ATM- 11598-3;6224
ATM- 11600-9;143670
ATM- 11601-7;12968
ATM- 11603-3;95740
ATM- 11607-6;13544
ATM- 11609-2;4048
ATM- 11611-4;17936
ATM- 11612-2;17088
ATM- 11613-0;14720
ATM- 11614-9;20640
ATM- 11615-7;166900
ATM- 11616-5;19784
ATM- 11617-3;19784
ATM- 11618-1;5088
ATM- 11619-K;5840
ATM- 11620-3;14288
ATM- 11621-1;16608
ATM- 11623-8;6300
ATM- 11624-6;5770
ATM- 11625-4;2230
ATM- 11626-2;7192
ATM- 11627-0;5952
ATM- 11628-9;1890
ATM- 11629-7;8008
ATM- 11630-0;5312
ATM- 11631-9;7352
